,,,,,,,,,,,,,,,,,,,
NIO Inc. Sponsored ADR Class A,,,,,,,,,,,,,,,,,,,
NIO   62914V106   BFZX9H8   NYSE    Common stock    ,,,,,,,,,,,,,,,,,,,
Source: FactSet Fundamentals,,,,,,,,,,,,,,,,,,,
,DEC '16,DEC '17,DEC '18,DEC '19,,,,,,,,,,,,,,,
Leverage (%),,,,,,,,,,,,,,,,,,,
LT Debt/Total Equity,3.1,7.9,17.1,-140.4,,,,,,,,,,,,,,,
LT Debt/Total Capital,2.9,7.3,11.6,201.0,,,,,,,,,,,,,,,
LT Debt/Total Assets,1.8,6.1,6.2,60.6,,,,,,,,,,,,,,,
Total Debt/Total Assets,2.8,6.9,17.2,73.4,,,,,,,,,,,,,,,
Net Debt/Total Equity,-42.7,-83.5,-74.7,-153.1,,,,,,,,,,,,,,,
Total Debt/Equity,4.7,8.9,47.3,-,,,,,,,,,,,,,,,
Net Debt/Total Capital,-40.8,-76.6,-50.7,219.2,,,,,,,,,,,,,,,
Total Debt/Total Capital,4.4,8.2,32.1,243.2,,,,,,,,,,,,,,,
All figures in millions of U.S. Dollar except per share and labeled items.,,,,,,,,,,,,,,,,,,,
